AMAZONAS,ANCASH,APURIMAC,AREQUIPA,AYACUCHO,CAJAMARCA,CALLAO,CUSCO,EXTRANJERO,HUANCAVELICA,HUANUCO,ICA,JUNIN,LA LIBERTAD,LAMBAYEQUE,LIMA,LORETO,MADRE DE DIOS,MOQUEGUA,PASCO,PIURA,PUNO,SAN MARTIN,SIN REGISTRO,TACNA,TUMBES,UCAYALI
2.0,12.0,3.0,19.0,9.0,10.0,11.0,14.0,1.0,4.0,9.0,12.0,15.0,23.0,0.0,97.0,6.0,0.0,1.0,2.0,11.0,10.0,4.0,2.0,1.0,4.0,3.0
0.0,9.0,4.0,16.0,5.0,8.0,14.0,12.0,2.0,5.0,8.0,8.0,16.0,19.0,5.0,90.0,6.0,6.0,7.0,1.0,21.0,23.0,6.0,0.0,3.0,3.0,6.0
6.0,12.0,3.0,14.0,5.0,14.0,10.0,15.0,2.0,1.0,10.0,11.0,15.0,17.0,0.0,62.0,4.0,0.0,1.0,3.0,19.0,16.0,7.0,1.0,2.0,4.0,3.0
0.0,14.0,2.0,18.0,9.0,11.0,8.0,20.0,3.0,9.0,10.0,15.0,15.0,21.0,2.0,96.0,6.0,6.0,1.0,0.0,14.0,11.0,7.0,0.0,4.0,1.0,4.0
1.0,16.0,2.0,18.0,6.0,11.0,16.0,14.0,3.0,6.0,8.0,14.0,17.0,26.0,3.0,80.0,5.0,4.0,5.0,2.0,13.0,10.0,10.0,0.0,3.0,5.0,4.0
4.0,16.0,4.0,21.0,5.0,6.0,15.0,9.0,0.0,1.0,9.0,11.0,15.0,13.0,1.0,85.0,11.0,0.0,3.0,3.0,11.0,14.0,9.0,0.0,2.0,5.0,4.0
3.0,16.0,6.0,24.0,7.0,4.0,14.0,13.0,2.0,8.0,12.0,10.0,22.0,21.0,1.0,102.0,1.0,2.0,4.0,1.0,13.0,8.0,8.0,0.0,3.0,5.0,5.0
5.0,15.0,3.0,16.0,7.0,11.0,15.0,18.0,2.0,2.0,8.0,11.0,12.0,20.0,2.0,83.0,5.0,0.0,1.0,0.0,19.0,13.0,8.0,1.0,4.0,4.0,7.0
3.0,15.0,2.0,17.0,8.0,5.0,7.0,13.0,1.0,4.0,10.0,14.0,20.0,19.0,0.0,89.0,7.0,3.0,1.0,0.0,13.0,16.0,3.0,0.0,3.0,1.0,4.0
0.0,13.0,4.0,21.0,7.0,3.0,12.0,15.0,1.0,5.0,5.0,12.0,20.0,29.0,1.0,91.0,6.0,2.0,3.0,0.0,20.0,17.0,7.0,2.0,1.0,1.0,2.0
3.0,15.0,4.0,16.0,11.0,15.0,14.0,16.0,1.0,8.0,7.0,12.0,17.0,12.0,2.0,85.0,8.0,0.0,1.0,1.0,16.0,16.0,13.0,0.0,3.0,4.0,8.0
2.0,16.0,5.0,18.0,6.0,11.0,10.0,18.0,2.0,4.0,6.0,12.0,14.0,20.0,2.0,90.0,7.0,4.0,2.0,1.0,17.0,12.0,6.0,0.0,6.0,2.0,7.0
3.0,9.0,6.0,21.0,4.0,10.0,9.0,20.0,1.0,6.0,8.0,11.0,10.0,28.0,3.0,96.0,2.0,0.0,0.0,4.0,18.0,16.0,6.0,0.0,4.0,2.0,6.0
4.0,14.0,6.0,13.0,8.0,9.0,12.0,19.0,1.0,9.0,6.0,11.0,17.0,19.0,1.0,92.0,6.0,1.0,1.0,3.0,18.0,17.0,6.0,0.0,8.0,4.0,2.0
4.0,15.0,4.0,23.0,5.0,11.0,11.0,16.0,0.0,6.0,6.0,12.0,15.0,15.0,2.0,102.0,6.0,1.0,2.0,1.0,15.0,16.0,6.0,0.0,4.0,1.0,4.0
4.0,15.0,5.0,16.0,4.0,8.0,11.0,17.0,0.0,7.0,4.0,14.0,11.0,21.0,2.0,95.0,1.0,0.0,5.0,1.0,23.0,22.0,3.0,1.0,4.0,2.0,6.0
3.0,12.0,2.0,19.0,7.0,5.0,17.0,17.0,0.0,6.0,2.0,9.0,17.0,21.0,1.0,91.0,8.0,3.0,3.0,0.0,16.0,16.0,4.0,0.0,4.0,3.0,2.0
5.0,15.0,3.0,20.0,5.0,15.0,7.0,15.0,0.0,6.0,7.0,10.0,22.0,31.0,1.0,84.0,4.0,2.0,0.0,3.0,17.0,15.0,12.0,0.0,1.0,3.0,4.0
0.0,19.0,6.0,21.0,4.0,10.0,15.0,10.0,0.0,6.0,10.0,11.0,13.0,19.0,3.0,83.0,11.0,1.0,4.0,3.0,18.0,20.0,5.0,1.0,2.0,0.0,1.0
6.0,21.0,7.0,14.0,12.0,10.0,10.0,20.0,0.0,2.0,11.0,13.0,11.0,27.0,4.0,93.0,7.0,4.0,2.0,0.0,25.0,14.0,11.0,1.0,3.0,2.0,6.0
3.0,15.0,11.0,21.0,8.0,10.0,4.0,8.0,1.0,6.0,14.0,8.0,18.0,20.0,0.0,78.0,6.0,4.0,1.0,0.0,20.0,12.0,6.0,0.0,8.0,2.0,7.0
1.0,13.0,1.0,24.0,3.0,7.0,9.0,12.0,1.0,6.0,8.0,15.0,16.0,20.0,1.0,84.0,5.0,4.0,2.0,1.0,22.0,17.0,6.0,2.0,5.0,0.0,6.0
5.0,18.0,4.0,19.0,10.0,6.0,6.0,18.0,0.0,5.0,9.0,8.0,11.0,22.0,3.0,82.0,7.0,1.0,0.0,2.0,17.0,8.0,6.0,0.0,0.0,3.0,9.0
2.0,6.0,3.0,20.0,6.0,14.0,10.0,21.0,2.0,1.0,6.0,10.0,13.0,16.0,0.0,92.0,5.0,3.0,2.0,4.0,21.0,16.0,6.0,1.0,4.0,2.0,3.0
1.0,13.0,5.0,25.0,9.0,8.0,10.0,19.0,1.0,6.0,12.0,9.0,12.0,17.0,6.0,84.0,7.0,2.0,4.0,2.0,13.0,20.0,5.0,0.0,3.0,3.0,7.0
0.0,11.0,8.0,18.0,10.0,11.0,17.0,11.0,0.0,9.0,4.0,15.0,23.0,19.0,3.0,73.0,12.0,2.0,3.0,1.0,23.0,17.0,7.0,0.0,5.0,4.0,4.0
1.0,13.0,5.0,14.0,8.0,9.0,8.0,16.0,3.0,1.0,12.0,5.0,20.0,20.0,4.0,72.0,5.0,2.0,4.0,2.0,8.0,10.0,7.0,1.0,2.0,6.0,2.0
2.0,11.0,5.0,15.0,4.0,13.0,6.0,15.0,3.0,6.0,9.0,15.0,19.0,21.0,0.0,69.0,6.0,2.0,1.0,5.0,18.0,9.0,11.0,1.0,1.0,5.0,6.0
1.0,19.0,3.0,28.0,8.0,12.0,13.0,12.0,0.0,5.0,4.0,15.0,16.0,21.0,1.0,90.0,4.0,1.0,0.0,2.0,14.0,13.0,10.0,1.0,3.0,5.0,4.0
1.0,9.0,4.0,18.0,6.0,10.0,10.0,18.0,1.0,6.0,10.0,12.0,22.0,13.0,1.0,97.0,5.0,1.0,2.0,3.0,21.0,15.0,4.0,0.0,5.0,3.0,5.0
6.0,14.0,2.0,25.0,6.0,7.0,13.0,22.0,1.0,2.0,4.0,9.0,17.0,23.0,1.0,71.0,2.0,2.0,4.0,2.0,9.0,12.0,6.0,0.0,2.0,0.0,8.0
